"crypto_fullname","crypto_nrc","gender","programme_as_admitted","school_abbr","school"
"88fab76c","45217f21","M","BACHELOR OF FOOD SCIENCE AND TECHNOLOGY","Agric. Sc","SCHOOL OF AGRICULTURAL SCIENCES"
"091fcadb","13fa6010","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"8e9bd846","eedee763","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"94957f41","fac02628","F","BACHELOR OF LAWS","Law","SCHOOL OF LAW"
"4d47d128","dd9bcffe","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"26af1347","c0ecc91b","M","BACHELOR OF COMPUTER SCIENCE","NS","SCHOOL OF NATURAL SCIENCES"
"07c0597b","3d645434","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"a7dfaee5","1818f534","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"28918149","84b7960b","M","BACHELOR OF PHARMACY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"fa891cfc","59d0f25a","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"11e6428c","3bc51e5f","F","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"29de459d","dbf24268","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"517d7fd4","8a76c7ff","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"5cbe9a95","970a0372","F","BACHELOR OF SCIENCE","NS","SCHOOL OF NATURAL SCIENCES"
"48319587","786fbdc1","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"131e32fa","8c9bf1f1","M","BACHELOR OF SCIENCE IN MIDWIFERY","Nursing Sc.","SCHOOL OF NURSING SCIENCES"
"dfd3abba","26ba076a","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"66760260","f901684b","M","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"47f24904","889f3920","M","BACHELOR OF SCIENCE IN BIOMEDICAL SCIENCES","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"28f7f9cd","b3eaced8","F","BACHELOR OF ACCOUNTANCY","Business","GRADUATE SCHOOL OF BUSINESS"
"649baede","4c7c3fc0","F","BACHELOR OF SCIENCE IN PHYSIOTHERAPY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"7baad8bf","32bb1dcc","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"6df35854","e378b328","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"0a4b9ba9","69dc47f4","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"fec5664e","31e00179","F","BACHELOR OF ARTS WITH LIBRARY & INFORMATION STUDIES","Education","SCHOOL OF EDUCATION"
"1128b32a","e90fb697","M","BACHELOR OF PHARMACY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"5a8da500","87499f74","M","BACHELOR OF ENGINEERING - MINES","Mines","SCHOOL OF MINES"
"e7648cd9","8c6911e7","M","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"e7648cd9","8c6911e7","M","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"e4ad8139","fbbb8e97","M","BACHELOR OF SCIENCE AGRICULTURAL ECONOMICS","Agric. Sc","SCHOOL OF AGRICULTURAL SCIENCES"
"72577b60","08a18d68","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"23511bed","9a2d2298","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"970403e1","2e721d8c","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"6aeabc10","aa775ceb","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"d9812062","57739bbb","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"4f6ca486","f79b6a2b","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"cf6697ab","482e94b8","F","BACHELOR OF BUSINESS ADMINISTRATION","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"b86415e7","a4f6b794","M","BACHELOR OF PHARMACY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"4b0d0265","ec43e66c","M","BACHELOR OF PHARMACY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"bd4f2456","1db4240d","M","BACHELOR OF COMPUTER SCIENCE","NS","SCHOOL OF NATURAL SCIENCES"
"4d152496","6fca58e6","M","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"f0a98c3f","e259bacf","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"fb60e8c6","5a23f6ef","F","BACHELOR OF VETERINARY - VET","Vet. Med.","SCHOOL OF VETERINARY MEDICINE"
"0bfd5ade","7518cbe5","M","BACHELOR OF SCIENCE HUMAN NUTRITION","Agric. Sc","SCHOOL OF AGRICULTURAL SCIENCES"
"a47e799e","0a0da092","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"3cf93443","7a48a0b7","M","BACHELOR OF SCIENCE IN NURSING","Nursing Sc.","SCHOOL OF NURSING SCIENCES"
"670c51a9","218b84fc","M","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"fa17b588","8bad1712","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"b844f550","3901e898","M","BACHELOR OF COMPUTER SCIENCE","NS","SCHOOL OF NATURAL SCIENCES"
"320dbadb","d8145bcc","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"c91f0aa1","5f5e5238","F","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"c91f0aa1","5f5e5238","F","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"410fe1ff","77f9fb04","M","BACHELOR OF SOCIAL WORK","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"d73a3b39","fd620555","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"a5d065b2","f39556b3","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"9c383294","aef1ee14","M","BACHELOR OF LAWS","Law","SCHOOL OF LAW"
"a9df7ad3","709aa4a8","M","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"b4de94e2","b1ba7f1f","F","BACHELOR OF SCIENCE IN BIOMEDICAL SCIENCES","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"f9018140","8742fb9c","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"ccc97133","0b6806c4","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"1bb1f12d","0d8e1c3e","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"21f93dc6","c655a47a","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"e4487d2e","b4c01114","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"11199bba","8b345d46","F","BACHELOR OF PHARMACY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"82bc874b","39b14c5a","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"94b80416","6f210b80","F","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"51e389b4","2d0544ae","M","BACHELOR OF PHARMACY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"6a9f72d3","2e5f1d4a","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"5c758545","6e57a67a","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"0069ec28","c27dde18","F","BACHELOR OF PHARMACY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"611bc1e5","25ff2e8c","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"21a8a837","c05c66dc","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"dc291e28","8ce886ee","F","BACHELOR OF SOCIAL WORK","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"9c814c9b","1f7d733a","M","BACHELOR OF SCIENCE IN MIDWIFERY","Nursing Sc.","SCHOOL OF NURSING SCIENCES"
"a61e3386","14e48886","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"3ab38582","4d30c4b8","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"d27435b8","4a036d79","F","BACHELOR OF LAWS","Law","SCHOOL OF LAW"
"471d6d6c","989f9ac9","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"c2140d74","084868b4","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"ed489e7e","9a8ee962","M","BACHELOR OF SCIENCE AGRICULTURAL ECONOMICS","Agric. Sc","SCHOOL OF AGRICULTURAL SCIENCES"
"85a85840","00cd8310","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"0371eda1","768251cd","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"08729a64","3e9aefb0","M","BACHELOR OF PHARMACY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"977ed8fb","83c00cc7","M","BACHELOR OF PHARMACY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"768090e6","92df9b81","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"a1e4e285","a8136b61","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"622a9bf8","8652b998","F","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"a89f3b11","d819356f","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"8293e0f9","abbda792","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"59ef9ee3","e8cec91f","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"81aebf56","96b1c9ed","F","BACHELOR OF PHARMACY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"e861ef53","11d217fb","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"7498e68d","1a7dbf54","M","BACHELOR OF COMPUTER SCIENCE","NS","SCHOOL OF NATURAL SCIENCES"
"ce956dc8","6c82faa2","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"29fefbe5","078d380e","F","BACHELOR OF VETERINARY - VET","Vet. Med.","SCHOOL OF VETERINARY MEDICINE"
"347d2371","afb34cec","F","BACHELOR OF PHARMACY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"3afee325","2c3ae94d","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"57142cd0","df1c026d","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"202a564d","4259e8d8","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"c2c18fc3","d7b078a5","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"b1e42c39","8d02de4f","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"f6313dae","f489ee1a","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"f0f6901e","e50b3d21","F","BACHELOR OF ACCOUNTANCY","Business","GRADUATE SCHOOL OF BUSINESS"
"26327f2f","94075d0f","M","BACHELOR OF SCIENCE","NS","SCHOOL OF NATURAL SCIENCES"
"26327f2f","94075d0f","M","BACHELOR OF SCIENCE","NS","SCHOOL OF NATURAL SCIENCES"
"0d77fdb7","32f301b5","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"0d77fdb7","32f301b5","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"70fd2fbd","b9d4d127","M","BACHELOR OF VETERINARY - VET","Vet. Med.","SCHOOL OF VETERINARY MEDICINE"
"6715a81f","b91bcadf","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"6715a81f","b91bcadf","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"a2d3ab63","eda44a12","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"509da74e","480e2c35","M","BACHELOR OF PHARMACY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"e05a1038","28ba5fe4","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"2e803484","d03bd235","M","BACHELOR OF SCIENCE IN BIOMEDICAL SCIENCES","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"65b224be","5f36fbdb","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"bd164bcd","5e24061b","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"ea8c40f2","3e16fc7b","F","BACHELOR OF SCIENCE IN MIDWIFERY","Nursing Sc.","SCHOOL OF NURSING SCIENCES"
"4c0c6d3e","f98fe21b","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"1ece1152","057c9021","M","BACHELOR OF SCIENCE - PH","Pub. Health","SCHOOL OF PUBLIC HEALTH"
"1a8b3798","ba14f0b1","M","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"1a8b3798","ba14f0b1","M","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"e2a58439","d9e334f4","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"45e393d4","425b50fa","F","BACHELOR OF PHARMACY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"c633d8ae","6e7b4a1a","M","BACHELOR OF LAWS","Law","SCHOOL OF LAW"
"fba4135c","8055a6ab","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"4b8dc30d","81d8b6df","M","BACHELOR OF PUBLIC RELATIONS AND ADVERTISING","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"62ccd242","995b7366","F","BACHELOR OF ARTS IN LIBRARY AND INFORMATION SCIENCE","Education","SCHOOL OF EDUCATION"
"eb9c6220","309d90be","F","BACHELOR OF PHARMACY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"e828491d","813cd4a0","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"b37e3c03","23248981","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"d4ac5412","58936145","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"5d99c36d","ab1e9efa","M","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"b58646b8","273586ac","M","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"953a4192","1174244c","F","BACHELOR OF SCIENCE - PH","Pub. Health","SCHOOL OF PUBLIC HEALTH"
"5ac840c0","caddb2e5","F","BACHELOR OF PHARMACY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"9df8f2b9","cc6d79e9","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"4cfeec43","d43612c3","F","BACHELOR OF AGRICULTURAL SCIENCES","Agric. Sc","SCHOOL OF AGRICULTURAL SCIENCES"
"945b2149","81d6231a","F","BACHELOR OF COMPUTER SCIENCE","NS","SCHOOL OF NATURAL SCIENCES"
"4b86104c","8127ea7f","M","BACHELOR OF SCIENCE IN MIDWIFERY","Nursing Sc.","SCHOOL OF NURSING SCIENCES"
"dad895b6","d29b8f60","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"9f8e3e4a","fa3138be","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"9f8e3e4a","fa3138be","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"f468c0b0","d2474e7c","M","BACHELOR OF SCIENCE IN BIOMEDICAL SCIENCES","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"0be62f10","78a64143","F","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"0be62f10","78a64143","F","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"b4a67410","338cc004","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"31ab6d3f","ca96f727","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"4819f198","bc589bb2","F","BACHELOR OF LAWS","Law","SCHOOL OF LAW"
"6c1639d1","8386ad85","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"1514eb0a","1ec42796","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"1e664273","88e30ef3","M","BACHELOR OF SCIENCE IN PHYSIOTHERAPY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"b3227caa","8a2023a2","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"b3227caa","8a2023a2","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"c639264b","42456e0f","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"1be200dd","fe055b9f","F","BACHELOR OF SCIENCE IN NURSING","Nursing Sc.","SCHOOL OF NURSING SCIENCES"
"aa48c89e","402a9ad1","M","BACHELOR OF SCIENCE IN BIOMEDICAL SCIENCES","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"d14c4fa3","a58907d2","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"43b4a332","e91fd9d3","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"a2a8cd43","fa3bd648","F","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"e2c1cca8","8f751af3","F","BACHELOR OF PHARMACY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"a82a898d","0dd7c5c2","F","BACHELOR OF PHARMACY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"cadd6a2a","91037fc8","F","BACHELOR OF SCIENCE IN BIOMEDICAL SCIENCES","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"5d2f8909","2894207d","F","BACHELOR OF LAWS","Law","SCHOOL OF LAW"
"21bda14c","77030202","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"b75eae80","94dbbd0d","F","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"34560b77","b6985078","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"90b7f0bb","4cdec814","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"3720f97a","4d5eb299","F","BACHELOR OF LAWS","Law","SCHOOL OF LAW"
"7f02a2d3","77831eed","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"d652c972","2ae53297","M","BACHELOR OF AGRICULTURAL SCIENCES","Agric. Sc","SCHOOL OF AGRICULTURAL SCIENCES"
"b97375a6","ae2ef181","F","BACHELOR OF SCIENCE IN RADIOGRAPHY (DIAGNOSTICS/THERAPEUTIC)","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"938a20ed","e0988c19","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"9472d72f","9e3a0953","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"49646eb2","bb084b26","M","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"3875d207","c9b054a3","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"9664fb75","5e73838d","M","BACHELOR OF SCIENCE - PH","Pub. Health","SCHOOL OF PUBLIC HEALTH"
"b83b1596","7a09b84b","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"b3aba0a3","bff20d44","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"31db2992","564511b3","F","BACHELOR OF ARTS","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
"76241cb2","1583a8ca","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"dd225b1f","5bdf0b77","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"a3d64b97","1e91c0bd","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"f6b7fc67","21654a23","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"42b07ed1","87903126","M","BACHELOR OF AGRICULTURAL SCIENCES","Agric. Sc","SCHOOL OF AGRICULTURAL SCIENCES"
"3393803d","bdac6347","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"a2cd477b","381ff1f7","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"3dba6f6b","1fca5e5c","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"18ccfeb7","78010830","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"a10b4b76","eae5cfde","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"93617a67","5ecd0bff","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"8f0ad4e6","e80bc85f","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"d49c127e","1dc07903","F","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"00946620","e902ccf5","M","BACHELOR OF SCIENCE IN BIOMEDICAL SCIENCES","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"4a754f85","99e44acf","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"62a11345","c7c66f3f","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"89cb6dd7","0fc9216f","M","BACHELOR OF COMPUTER SCIENCE","NS","SCHOOL OF NATURAL SCIENCES"
"5fc833e6","2c784d7c","M","BACHELOR OF COMPUTER SCIENCE","NS","SCHOOL OF NATURAL SCIENCES"
"aee127d6","44b4bedb","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"7c5392ad","5bed9acb","F","BACHELOR OF AGRICULTURAL SCIENCES","Agric. Sc","SCHOOL OF AGRICULTURAL SCIENCES"
"63220eb9","c12dc81d","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"e0d8ce42","ec923c16","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"024b790f","16de6f05","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"753e29df","c31beddd","M","BACHELOR OF PHARMACY","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"610dad1c","fd72e970","F","BACHELOR OF SCIENCE IN NURSING","Nursing Sc.","SCHOOL OF NURSING SCIENCES"
"a3a8f306","b5856f04","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"ba8ee509","7abe3ee0","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"ba8ee509","7abe3ee0","M","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"e00b72e1","bcf3ebdf","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"14022185","368f8c75","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"f0aaf17c","dfc0803d","F","BACHELOR OF SCIENCE IN BIOMEDICAL SCIENCES","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"62417a3d","3a2bef70","M","BACHELOR OF SCIENCE IN MIDWIFERY","Nursing Sc.","SCHOOL OF NURSING SCIENCES"
"a4fb4490","069e74a9","F","BACHELOR OF ENGINEERING","Engineering","SCHOOL OF ENGINEERING"
"694925d9","b0fdb646","F","BACHELOR OF SCIENCE IN BIOMEDICAL SCIENCES","Health Sc.","SCHOOL OF HEALTH SCIENCES"
"2b428f93","a98135d0","F","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"32cf3cf4","cb6a5e9b","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"1c1f9aed","79e81e6a","M","BACHELOR OF MEDICINE AND BACHELOR OF SURGERY","Human Med.","SCHOOL OF MEDICINE"
"9d1af1f9","06cbe0e7","M","BACHELOR OF BUSINESS ADMINISTRATION","HSS","SCHOOL OF HUMANITIES AND SOCIAL SCIENCES"
